"S","ID","Rank1","real","Rank2"
-6.3063855,"PV-009341369676",2722,"not active",
-6.306232,"PV-010050468100",2723,"not active",
-6.3061552,"PV-007078442645",2724,"not active",1589
-6.3060846,"PV-009533201118",2725,"not active",
-6.3060741,"PV-007669208455",2726,"not active",
-6.3060427,"PV-009889483280",2727,"not active",
-6.3060293,"PV-004237211189",2728,"not active",
-6.3059664,"PV-001635578318",2729,"not active",
-6.3058634,"PV-001676433982",2730,"not active",
-6.3056784,"PV-009563656077",2731,"not active",122
-6.3055615,"PV-006062153030",2732,"not active",
-6.3055396,"PV-006276796156",2733,"not active",1242
-6.3053465,"PV-008903503645",2734,"not active",
-6.3052692,"PV-009269407164",2735,"not active",1941
-6.3051972,"PV-005447253647",2736,"not active",
-6.3051085,"PV-007281059820",2737,"not active",
-6.3050561,"PV-005885961431",2738,"not active",102
-6.3050423,"PV-001845006213",2739,"not active",
-6.3050079,"PV-009419842928",2740,"not active",
-6.3049607,"PV-009412876382",2741,"not active",
-6.3049474,"PV-007347415360",2742,"not active",
-6.3049431,"PV-005152969418",2743,"not active",
-6.3047905,"PV-005101367450",2744,"not active",
-6.3047514,"PV-004288153941",2745,"not active",
-6.3046126,"PV-005878215300",2747,"not active",
-6.3046083,"PV-009562974876",2748,"not active",
-6.3045354,"PV-003708984570",2749,"not active",
-6.3044538,"PV-009449975322",2750,"not active",
