"ID","S","Rank","real"
"Z759334188",-6.2489686,3387,"not active"
"Z2003673589",-6.2488189,3391,"not active"
"Z3720825348",-6.248383,3401,"not active"
"Z1331685582",-6.2483768,3402,"not active"
"Z1817915558",-6.2468967,3417,"not active"
"Z1381745996",-6.2464776,3420,"not active"
"Z6121994250",-6.2452183,3437,"not active"
"Z2500368906",-6.2448678,3442,"not active"
"Z4286515447",-6.2446289,3443,"not active"
"Z3582207393",-6.2442527,3451,"not active"
"Z4960606781",-6.2428074,3469,"not active"
"Z5419820540",-6.2417765,3481,"not active"
"Z2045866751",-6.2416544,3484,"not active"
"Z7466954566",-6.2407546,3494,"not active"
"Z5463055081",-6.2407246,3497,"not active"
"Z1903855777",-6.239284,3515,"not active"
"Z2435213787",-6.2378221,3529,"not active"
"Z2302107371",-6.237514,3534,"not active"
"Z4332933435",-6.2367573,3549,"not active"
"Z5483139816",-6.2362256,3556,"not active"
"Z3699842054",-6.2357578,3561,"not active"
"Z5648700608",-6.2353125,3565,"not active"
"Z4147830756",-6.233654,3589,"not active"
"Z3566165056",-6.2334175,3595,"not active"
"Z3835893917",-6.2311053,3616,"not active"
"Z4002108785",-6.2307577,3622,"not active"
"Z4137480995",-6.2299504,3631,"not active"
"Z4088785318",-6.2294865,3636,"not active"
"Z1626773768",-6.2290244,3640,"not active"
"Z3076776998",-6.2288947,3641,"not active"
"Z5647175624",-6.2287807,3642,"not active"
"Z1189973095",-6.2281165,3653,"not active"
"Z4402061372",-6.2272506,3663,"not active"
"Z7609940584",-6.2261596,3678,"not active"
"Z284834930",-6.2257514,3686,"not active"
"Z4311348625",-6.2256303,3688,"not active"
"Z4247369218",-6.2245307,3699,"not active"
"Z2218958958",-6.2244554,3700,"not active"
"Z1840629671",-6.2240229,3706,"not active"
"Z5122738972",-6.2234502,3718,"not active"
"Z6654520359",-6.2229753,3724,"not active"
"Z1248823235",-6.2210822,3753,"not active"
"Z6083561940",-6.2206688,3759,"not active"
"Z3865309476",-6.2198634,3766,"not active"
"Z1668347822",-6.2192945,3778,"not active"
"Z5001133766",-6.2167821,3811,"not active"
"Z1728074879",-6.2164226,3822,"not active"
"Z2065094880",-6.21562,3834,"not active"
"Z4265460867",-6.214643,3844,"not active"
"Z2295356888",-6.2140002,3854,"not active"
"Z1267125918",-6.2122364,3877,"not active"
"Z2305298476",-6.2119942,3882,"not active"
"Z3650576438",-6.2119379,3883,"not active"
"Z5035348834",-6.2117252,3888,"not active"
"Z1417667502",-6.2108779,3896,"not active"
"Z7482050627",-6.2106595,3898,"not active"
"Z7761335917",-6.2103066,3903,"not active"
"Z2812270072",-6.2098665,3905,"not active"
"Z4537195828",-6.2096987,3909,"not active"
"Z7696300101",-6.2093806,3916,"not active"
"Z1444476758",-6.208858,3930,"not active"
"Z3194100225",-6.2082806,3937,"not active"
"Z5402339133",-6.2079935,3941,"not active"
"Z2821140079",-6.2065792,3962,"not active"
"Z1497698241",-6.205462,3976,"not active"
"Z4628052214",-6.204886,3987,"not active"
"Z2906558058",-6.2046695,3990,"not active"
"Z5764034719",-6.2046061,3992,"not active"
"Z3652516550",-6.203897,4002,"not active"
"Z2226766865",-6.2037125,4006,"not active"
"Z2635965848",-6.2034297,4012,"not active"
"Z2176254339",-6.2022161,4031,"not active"
"Z7465267369",-6.2021561,4033,"not active"
"Z5629419217",-6.2019739,4039,"not active"
"Z3171479120",-6.2018399,4040,"not active"
"Z4317423916",-6.2016878,4044,"not active"
"Z2177612535",-6.2016406,4045,"not active"
"Z5591485709",-6.2009072,4054,"not active"
"Z2504802050",-6.2006264,4059,"not active"
"Z4878790461",-6.2004251,4062,"not active"
"Z7589684904",-6.1997972,4068,"not active"
"Z3204181473",-6.1990395,4076,"not active"
"Z3255193858",-6.1982002,4088,"not active"
"Z5536964917",-6.1980891,4090,"not active"
"Z2854383386",-6.1975141,4096,"not active"
"Z2109582036",-6.1970081,4104,"not active"
"Z4136782408",-6.1964774,4115,"not active"
"Z795745182",-6.1956697,4122,"not active"
"Z3662407008",-6.1947799,4136,"not active"
"Z7748092942",-6.1938553,4152,"not active"
"Z5497685527",-6.1934829,4156,"not active"
"Z2054367000",-6.1924663,4167,"not active"
"Z1365877480",-6.1919627,4174,"not active"
"Z1193533402",-6.1910439,4185,"not active"
"Z3466938308",-6.1909218,4187,"not active"
"Z4265554509",-6.1907692,4189,"not active"
"Z7503195839",-6.1907248,4190,"not active"
"Z4054928899",-6.190351,4197,"not active"
"Z5329672880",-6.1892047,4210,"not active"
"Z2012110181",-6.1881742,4222,"not active"
"Z752249214",-6.187397,4232,"not active"
"Z7772447915",-6.186944,4238,"not active"
"Z97529959",-6.1854897,4258,"not active"
"Z7599701810",-6.1852102,4263,"not active"
"Z4641341009",-6.1851788,4266,"not active"
"Z2179680569",-6.1848087,4271,"not active"
"Z2797845337",-6.1829343,4290,"not active"
"Z2644892592",-6.1820745,4302,"not active"
"Z4217277677",-6.1817212,4309,"not active"
"Z7579561259",-6.1814818,4313,"not active"
"Z3803154107",-6.1814737,4314,"not active"
"Z3588019676",-6.1811042,4318,"not active"
"Z4914832763",-6.1806884,4322,"not active"
"Z7707117686",-6.1797462,4333,"not active"
"Z7655950919",-6.1786556,4344,"not active"
"Z1584471666",-6.1785011,4347,"not active"
"Z7734188773",-6.1770401,4359,"not active"
"Z5340250297",-6.176846,4364,"not active"
"Z3390766849",-6.175962,4379,"not active"
"Z4023720853",-6.17558,4384,"not active"
"Z1536117225",-6.1754217,4386,"not active"
"Z2840432270",-6.1750207,4390,"not active"
"Z1357593713",-6.174706,4395,"not active"
"Z4042412223",-6.1745548,4396,"not active"
"Z7694378713",-6.174068,4401,"not active"
"Z5021609070",-6.1734438,4411,"not active"
"Z1527743770",-6.1728444,4418,"not active"
"Z3633259396",-6.1724143,4422,"not active"
"Z268767268",-6.17238,4423,"not active"
"Z3184442876",-6.1711631,4438,"not active"
"Z612020470",-6.1704688,4449,"not active"
"Z3086215859",-6.169569,4460,"not active"
"Z1838859166",-6.1695056,4461,"not active"
"Z3982468772",-6.1694565,4462,"not active"
"Z3471443037",-6.1692147,4466,"not active"
"Z1243978257",-6.1684246,4482,"not active"
"Z5449551859",-6.1678529,4488,"not active"
"Z2080017571",-6.1678104,4490,"not active"
"Z5556406987",-6.167542,4495,"not active"
"Z4389000614",-6.1672735,4503,"not active"
"Z1656080733",-6.1668415,4505,"not active"
"Z209374810",-6.1664596,4511,"not active"
"Z6189540230",-6.1657352,4520,"not active"
"Z2109058653",-6.1655755,4523,"not active"
"Z4155750234",-6.1648564,4531,"not active"
"Z815744362",-6.1647024,4535,"not active"
"Z4084584628",-6.1644268,4541,"not active"
"Z1732205637",-6.1638098,4551,"not active"
"Z4507573387",-6.1621356,4575,"not active"
"Z3714513586",-6.1620474,4577,"not active"
"Z3368463568",-6.161902,4581,"not active"
"Z3140467742",-6.1616802,4585,"not active"
"Z3064905574",-6.161387,4589,"not active"
"Z2172951856",-6.1612673,4592,"not active"
"Z6703324339",-6.1612191,4593,"not active"
"Z3341271773",-6.1585989,4623,"not active"
"Z1074541596",-6.1577926,4632,"not active"
"Z3179571245",-6.1577044,4636,"not active"
"Z7327451733",-6.1576262,4640,"not active"
"Z1252393447",-6.1575809,4641,"not active"
"Z6697371577",-6.1575537,4642,"not active"
"Z5208086172",-6.1573343,4646,"not active"
"Z2596343372",-6.1573257,4647,"not active"
"Z6993786326",-6.1572328,4650,"not active"
"Z5008821795",-6.1568799,4660,"not active"
"Z3594782973",-6.1565876,4664,"not active"
"Z7517150382",-6.1560583,4671,"not active"
"Z5451875127",-6.1550269,4689,"not active"
"Z7670153617",-6.1544867,4701,"not active"
"Z3208492748",-6.1543159,4705,"not active"
"Z1767656613",-6.1532311,4708,"not active"
"Z3837230249",-6.1530013,4714,"not active"
"Z1657917286",-6.1523027,4725,"not active"
"Z3495856189",-6.1513052,4736,"not active"
"Z3352347702",-6.1507201,4744,"not active"
"Z1979756851",-6.1503987,4751,"not active"
"Z7365534823",-6.1496773,4763,"not active"
"Z2998749125",-6.1480308,4783,"not active"
"Z3339767486",-6.1474786,4790,"not active"
"Z5599523809",-6.1470065,4799,"not active"
"Z4466274190",-6.1461196,4813,"not active"
"Z3521462150",-6.1460791,4815,"not active"
"Z4993845393",-6.1446996,4836,"not active"
"Z4573318472",-6.1446085,4837,"not active"
"Z4541132738",-6.1445155,4839,"not active"
"Z5076449019",-6.1444535,4842,"not active"
"Z3517952567",-6.1433983,4850,"not active"
"Z2445300686",-6.1432214,4855,"not active"
"Z3597483945",-6.1431985,4857,"not active"
"Z5354203212",-6.1431656,4859,"not active"
"Z4028727119",-6.1424055,4873,"not active"
"Z3299744825",-6.1418691,4883,"not active"
"Z2973326411",-6.1414194,4890,"not active"
"Z7685688467",-6.1405525,4903,"not active"
"Z3571640992",-6.1401587,4907,"not active"
"Z6696924705",-6.1398773,4909,"not active"
"Z5520178167",-6.1392012,4920,"not active"
"Z2958520388",-6.1390591,4924,"not active"
"Z6204323010",-6.1382947,4938,"not active"
"Z3353624661",-6.1378431,4944,"not active"
"Z7765028041",-6.1375213,4950,"not active"
"Z4218441130",-6.1363463,4964,"not active"
"Z5087678732",-6.1359925,4971,"not active"
"Z3830448100",-6.1356163,4977,"not active"
"Z1503085583",-6.1355762,4978,"not active"
"Z7699243685",-6.1355705,4979,"not active"
"Z4234182971",-6.135294,4983,"not active"
"Z2362480855",-6.1352267,4985,"not active"
